Month    ,Price        ,Change
Dec 2010 ,"62,809.68"  ,2.17%
Jan 2011 ,"61,743.40"  ,-1.70%
Feb 2011 ,"62,486.08"  ,1.20%
Mar 2011 ,"64,031.82"  ,2.47%
Apr 2011 ,"65,730.36"  ,2.65%
May 2011 ,"67,907.28"  ,3.31%
Jun 2011 ,"68,594.58"  ,1.01%
Jul 2011 ,"69,854.13"  ,1.84%
Aug 2011 ,"79,645.34"  ,14.02%
Sep 2011 ,"84,580.51"  ,6.20%
Oct 2011 ,"82,055.02"  ,-2.99%
Nov 2011 ,"88,150.88"  ,7.43%
Dec 2011 ,"86,328.88"  ,-2.07%
Jan 2012 ,"84,732.63"  ,-1.85%
Feb 2012 ,"85,781.78"  ,1.24%
Mar 2012 ,"84,338.83"  ,-1.68%
Apr 2012 ,"85,434.05"  ,1.30%
May 2012 ,"86,343.66"  ,1.06%
Jun 2012 ,"89,578.52"  ,3.75%
Jul 2012 ,"88,525.34"  ,-1.18%
Aug 2012 ,"90,579.25"  ,2.32%
Sep 2012 ,"95,194.24"  ,5.09%
Oct 2012 ,"92,496.06"  ,-2.83%
Nov 2012 ,"94,207.98"  ,1.85%
Dec 2012 ,"92,015.30"  ,-2.33%
Jan 2013 ,"90,803.52"  ,-1.32%
Feb 2013 ,"87,471.13"  ,-3.67%
Mar 2013 ,"86,644.73"  ,-0.94%
Apr 2013 ,"80,903.44"  ,-6.63%
May 2013 ,"77,818.80"  ,-3.81%
Jun 2013 ,"78,355.69"  ,0.69%
Jul 2013 ,"76,847.65"  ,-1.92%
Aug 2013 ,"85,441.92"  ,11.18%
Sep 2013 ,"85,891.21"  ,0.53%
Oct 2013 ,"81,142.34"  ,-5.53%
Nov 2013 ,"80,007.36"  ,-1.40%
Dec 2013 ,"75,670.14"  ,-5.42%
Jan 2014 ,"77,312.91"  ,2.17%
Feb 2014 ,"80,943.59"  ,4.70%
Mar 2014 ,"81,456.73"  ,0.63%
Apr 2014 ,"78,370.05"  ,-3.79%
May 2014 ,"76,477.43"  ,-2.41%
Jun 2014 ,"76,378.35"  ,-0.13%
Jul 2014 ,"78,718.95"  ,3.06%
Aug 2014 ,"78,867.16"  ,0.19%
Sep 2014 ,"75,285.57"  ,-4.54%
Oct 2014 ,"74,997.34"  ,-0.38%
Nov 2014 ,"72,491.16"  ,-3.34%
Dec 2014 ,"75,291.99"  ,3.86%
Jan 2015 ,"77,715.80"  ,3.22%
Feb 2015 ,"76,113.23"  ,-2.06%
Mar 2015 ,"73,605.25"  ,-3.30%
Apr 2015 ,"75,236.65"  ,2.22%
May 2015 ,"76,484.80"  ,1.66%
Jun 2015 ,"75,451.46"  ,-1.35%
Jul 2015 ,"71,812.23"  ,-4.82%
Aug 2015 ,"72,746.31"  ,1.30%
Sep 2015 ,"74,476.64"  ,2.38%
Oct 2015 ,"75,438.75"  ,1.29%
Nov 2015 ,"71,759.82"  ,-4.88%
Dec 2015 ,"71,639.46"  ,-0.17%
Jan 2016 ,"73,882.06"  ,3.13%
Feb 2016 ,"81,857.57"  ,10.79%
Mar 2016 ,"83,496.73"  ,2.00%
Apr 2016 ,"82,572.44"  ,-1.11%
May 2016 ,"84,340.04"  ,2.14%
Jun 2016 ,"85,878.28"  ,1.82%
Jul 2016 ,"89,845.99"  ,4.62%
Aug 2016 ,"89,707.71"  ,-0.15%
Sep 2016 ,"88,540.40"  ,-1.30%
Oct 2016 ,"84,551.36"  ,-4.51%
Nov 2016 ,"83,622.54"  ,-1.10%
Dec 2016 ,"78,583.48"  ,-6.03%
Jan 2017 ,"81,191.05"  ,3.32%
Feb 2017 ,"82,818.17"  ,2.00%
Mar 2017 ,"81,169.45"  ,-1.99%
Apr 2017 ,"81,731.26"  ,0.69%
May 2017 ,"80,267.72"  ,-1.79%
Jun 2017 ,"81,206.16"  ,1.17%
Jul 2017 ,"79,702.45"  ,-1.85%
Aug 2017 ,"82,070.82"  ,2.97%
Sep 2017 ,"84,705.81"  ,3.21%
Oct 2017 ,"83,278.23"  ,-1.69%
Nov 2017 ,"83,160.05"  ,-0.14%
Dec 2017 ,"81,231.20"  ,-2.32%
Jan 2018 ,"84,729.66"  ,4.31%
Feb 2018 ,"85,664.20"  ,1.10%
Mar 2018 ,"86,116.81"  ,0.53%
Apr 2018 ,"87,643.83"  ,1.77%
May 2018 ,"88,040.16"  ,0.45%
Jun 2018 ,"86,881.56"  ,-1.32%
Jul 2018 ,"85,032.02"  ,-2.13%
Aug 2018 ,"83,560.63"  ,-1.73%
Sep 2018 ,"86,643.99"  ,3.69%
Oct 2018 ,"89,474.27"  ,3.27%
Nov 2018 ,"87,672.27"  ,-2.01%
Dec 2018 ,"88,567.77"  ,1.02%
Jan 2019 ,"91,392.22"  ,3.19%
Feb 2019 ,"93,999.48"  ,2.85%
Mar 2019 ,"90,384.77"  ,-3.85%
Apr 2019 ,"89,277.40"  ,-1.23%
May 2019 ,"89,588.57"  ,0.35%
Jun 2019 ,"94,370.20"  ,5.34%
Jul 2019 ,"97,215.99"  ,3.02%
Aug 2019 ,"106,747.70" ,9.80%
Sep 2019 ,"107,755.20" ,0.94%
Oct 2019 ,"106,209.10" ,-1.43%
Nov 2019 ,"105,057.20" ,-1.08%
Dec 2019 ,"105,296.50" ,0.23%
Jan 2020 ,"111,318.50" ,5.72%
Feb 2020 ,"114,110.60" ,2.51%
Mar 2020 ,"118,306.20" ,3.68%
Apr 2020 ,"128,239.40" ,8.40%
May 2020 ,"129,825.50" ,1.24%
Jun 2020 ,"131,144.10" ,1.02%
Jul 2020 ,"138,521.80" ,5.63%
Aug 2020 ,"147,001.40" ,6.12%
Sep 2020 ,"141,258.90" ,-3.91%
Oct 2020 ,"139,622.50" ,-1.16%
Nov 2020 ,"138,605.90" ,-0.73%
Dec 2020 ,"136,887.20" ,-1.24%
Jan 2021 ,"136,490.30" ,-0.29%
Feb 2021 ,"131,572.70" ,-3.60%
Mar 2021 ,"125,074.80" ,-4.94%
Apr 2021 ,"130,979.50" ,4.72%
May 2021 ,"135,731.70" ,3.63%
Jun 2021 ,"134,947.80" ,-0.58%
Jul 2021 ,"134,722.00" ,-0.17%
Aug 2021 ,"132,430.80" ,-1.70%
Sep 2021 ,"130,677.00" ,-1.32%
Oct 2021 ,"133,092.20" ,1.85%
Nov 2021 ,"135,690.30" ,1.95%
Dec 2021 ,"135,247.80" ,-0.33%
Jan 2022 ,"135,199.70" ,-0.04%
Feb 2022 ,"139,282.30" ,3.02%
Mar 2022 ,"148,511.30" ,6.63%
Apr 2022 ,"147,553.40" ,-0.64%
May 2022 ,"142,906.00" ,-3.15%
Jun 2022 ,"143,396.30" ,0.34%
Jul 2022 ,"137,959.50" ,-3.79%
Aug 2022 ,"140,379.70" ,1.75%
Sep 2022 ,"134,878.60" ,-3.92%
Oct 2022 ,"137,038.90" ,1.60%
Nov 2022 ,"141,158.50" ,3.01%
Dec 2022 ,"148,048.60" ,4.88%
Jan 2023 ,"155,401.50" ,4.97%
Feb 2023 ,"153,192.90" ,-1.42%
Mar 2023 ,"157,403.00" ,2.75%
Apr 2023 ,"164,022.70" ,4.21%
May 2023 ,"164,018.00" ,0.00%
Jun 2023 ,"159,803.90" ,-2.57%
Jul 2023 ,"160,328.50" ,0.33%
Aug 2023 ,"158,840.30" ,-0.93%
Sep 2023 ,"159,136.00" ,0.19%
Oct 2023 ,"159,497.80" ,0.23%
Nov 2023 ,"165,258.20" ,3.61%
Dec 2023 ,"168,779.50" ,2.13%
Jan 2024 ,"169,091.90" ,0.19%
Feb 2024 ,"167,855.40" ,-0.73%
