Month,Price,Change
Dec 2013,183.06,3.15%
Jan 2014,181.50,-0.85%
Feb 2014,184.67,1.75%
Mar 2014,176.19,-4.59%
Apr 2014,174.31,-1.07%
May 2014,170.20,-2.36%
Jun 2014,172.15,1.15%
Jul 2014,169.20,-1.71%
Aug 2014,172.88,2.18%
Sep 2014,166.15,-3.89%
Oct 2014,150.92,-9.17%
Nov 2014,141.67,-6.12%
Dec 2014,112.94,-20.28%
Jan 2015,92.95,-17.70%
Feb 2015,109.54,17.84%
Mar 2015,101.73,-7.13%
Apr 2015,106.81,4.99%
May 2015,117.99,10.47%
Jun 2015,110.61,-6.25%
Jul 2015,98.59,-10.87%
Aug 2015,90.39,-8.32%
Sep 2015,92.37,2.20%
Oct 2015,90.52,-2.00%
Nov 2015,87.58,-3.24%
Dec 2015,72.06,-17.73%
Jan 2016,62.58,-13.15%
Feb 2016,66.40,6.10%
Mar 2016,71.69,7.96%
Apr 2016,76.24,6.35%
May 2016,86.89,13.96%
Jun 2016,92.98,7.02%
Jul 2016,85.50,-8.05%
Aug 2016,86.68,1.39%
Sep 2016,88.03,1.56%
Oct 2016,97.27,10.49%
Nov 2016,91.57,-5.86%
Dec 2016,101.24,10.56%
Jan 2017,103.11,1.85%
Feb 2017,103.81,0.67%
Mar 2017,95.25,-8.25%
Apr 2017,97.42,2.28%
May 2017,90.96,-6.63%
Jun 2017,83.44,-8.26%
Jul 2017,91.31,9.43%
Aug 2017,99.85,9.35%
Sep 2017,116.03,16.20%
Oct 2017,107.98,-6.94%
Nov 2017,114.18,5.74%
Dec 2017,116.73,2.24%
Jan 2018,124.23,6.43%
Feb 2018,119.03,-4.19%
Mar 2018,120.79,1.48%
Apr 2018,132.31,9.54%
May 2018,145.56,10.01%
Jun 2018,141.69,-2.66%
Jul 2018,144.13,1.73%
Aug 2018,147.27,2.18%
Sep 2018,158.27,7.46%
Oct 2018,165.57,4.61%
Nov 2018,139.70,-15.62%
Dec 2018,120.13,-14.01%
Jan 2019,126.22,5.07%
Feb 2019,136.29,7.98%
Mar 2019,132.15,-3.04%
Apr 2019,137.26,3.87%
May 2019,137.62,0.27%
Jun 2019,126.17,-8.32%
Jul 2019,131.63,4.32%
Aug 2019,128.06,-2.71%
Sep 2019,133.89,4.55%
Oct 2019,132.23,-1.24%
Nov 2019,130.29,-1.47%
Dec 2019,134.76,3.43%
Jan 2020,126.75,-5.94%
Feb 2020,107.82,-14.94%
Mar 2020,70.82,-34.31%
Apr 2020,46.17,-34.81%
May 2020,51.90,12.41%
Jun 2020,74.42,43.39%
Jul 2020,81.32,9.27%
Aug 2020,83.04,2.11%
Sep 2020,73.94,-10.95%
Oct 2020,76.93,4.04%
Nov 2020,84.15,9.38%
Dec 2020,97.52,15.90%
Jan 2021,103.81,6.45%
Feb 2021,116.50,12.22%
Mar 2021,120.91,3.79%
Apr 2021,124.20,2.73%
May 2021,128.52,3.48%
Jun 2021,136.60,6.28%
Jul 2021,140.62,2.95%
Aug 2021,134.78,-4.15%
Sep 2021,147.45,9.40%
Oct 2021,171.98,16.63%
Nov 2021,163.34,-5.02%
Dec 2021,158.25,-3.11%
Jan 2022,182.10,15.07%
Feb 2022,201.24,10.51%
Mar 2022,266.47,32.42%
Apr 2022,298.18,11.90%
May 2022,301.66,1.17%
Jun 2022,321.68,6.64%
Jul 2022,276.92,-13.92%
Aug 2022,265.63,-4.07%
Sep 2022,261.77,-1.46%
Oct 2022,305.87,16.85%
Nov 2022,258.58,-15.46%
Dec 2022,238.60,-7.72%
Jan 2023,290.05,21.56%
Feb 2023,230.47,-20.54%
Mar 2023,220.46,-4.34%
Apr 2023,194.72,-11.68%
May 2023,178.91,-8.12%
Jun 2023,185.06,3.44%
Jul 2023,204.46,10.48%
Aug 2023,247.45,21.03%
Sep 2023,259.14,4.73%
Oct 2023,239.80,-7.46%
Nov 2023,227.72,-5.04%
Dec 2023,198.84,-12.68%
Jan 2024,214.89,8.08%
Feb 2024,222.59,3.58%
Mar 2024,215.21,-3.31%
Apr 2024,217.27,0.96%
