Month,Price,Change
Feb 2013,173.97,3.22%
Mar 2013,165.18,-5.05%
Apr 2013,157.69,-4.53%
May 2013,158.94,0.79%
Jun 2013,168.63,6.10%
Jul 2013,180.41,6.99%
Aug 2013,193.92,7.49%
Sep 2013,194.12,0.10%
Oct 2013,184.59,-4.91%
Nov 2013,184.24,-0.19%
Dec 2013,188.63,2.38%
Jan 2014,193.68,2.67%
Feb 2014,200.99,3.78%
Mar 2014,182.47,-9.21%
Apr 2014,178.53,-2.16%
May 2014,174.23,-2.41%
Jun 2014,176.87,1.51%
Jul 2014,172.92,-2.23%
Aug 2014,173.55,0.36%
Sep 2014,166.82,-3.88%
Oct 2014,155.33,-6.89%
Nov 2014,149.88,-3.51%
Dec 2014,127.55,-14.89%
Jan 2015,104.26,-18.26%
Feb 2015,123.50,18.45%
Mar 2015,115.91,-6.15%
Apr 2015,115.65,-0.22%
May 2015,125.39,8.42%
Jun 2015,120.57,-3.84%
Jul 2015,107.18,-11.11%
Aug 2015,98.65,-7.96%
Sep 2015,100.38,1.76%
Oct 2015,95.79,-4.57%
Nov 2015,93.33,-2.57%
Dec 2015,75.79,-18.80%
Jan 2016,65.88,-13.07%
Feb 2016,70.70,7.32%
Mar 2016,79.80,12.87%
Apr 2016,82.89,3.87%
May 2016,95.18,14.83%
Jun 2016,100.32,5.40%
Jul 2016,92.09,-8.20%
Aug 2016,93.65,1.69%
Sep 2016,94.64,1.06%
Oct 2016,104.07,9.97%
Nov 2016,98.79,-5.08%
Dec 2016,111.49,12.85%
Jan 2017,110.54,-0.85%
Feb 2017,108.97,-1.41%
Mar 2017,100.72,-7.58%
Apr 2017,102.32,1.59%
May 2017,97.53,-4.68%
Jun 2017,91.31,-6.38%
Jul 2017,98.01,7.35%
Aug 2017,104.33,6.44%
Sep 2017,115.45,10.66%
Oct 2017,117.09,1.42%
Nov 2017,124.30,6.15%
Dec 2017,124.89,0.48%
Jan 2018,132.00,5.69%
Feb 2018,124.69,-5.54%
Mar 2018,125.47,0.62%
Apr 2018,136.51,8.80%
May 2018,150.62,10.34%
Jun 2018,145.48,-3.41%
Jul 2018,147.02,1.06%
Aug 2018,149.71,1.83%
Sep 2018,162.82,8.76%
Oct 2018,171.68,5.44%
Nov 2018,147.10,-14.32%
Dec 2018,127.57,-13.28%
Jan 2019,130.61,2.38%
Feb 2019,139.71,6.97%
Mar 2019,138.12,-1.14%
Apr 2019,143.16,3.65%
May 2019,141.74,-0.99%
Jun 2019,128.18,-9.57%
Jul 2019,132.11,3.06%
Aug 2019,129.77,-1.77%
Sep 2019,138.39,6.64%
Oct 2019,137.63,-0.55%
Nov 2019,138.07,0.32%
Dec 2019,141.52,2.50%
Jan 2020,132.38,-6.46%
Feb 2020,115.89,-12.46%
Mar 2020,88.44,-23.69%
Apr 2020,67.05,-24.19%
May 2020,67.11,0.10%
Jun 2020,85.10,26.80%
Jul 2020,93.02,9.31%
Aug 2020,91.55,-1.59%
Sep 2020,82.47,-9.92%
Oct 2020,84.79,2.82%
Nov 2020,92.17,8.70%
Dec 2020,106.36,15.40%
Jan 2021,115.14,8.26%
Feb 2021,130.11,12.99%
Mar 2021,134.89,3.67%
Apr 2021,138.49,2.67%
May 2021,148.48,7.21%
Jun 2021,156.02,5.08%
Jul 2021,158.51,1.60%
Aug 2021,153.40,-3.22%
Sep 2021,162.03,5.62%
Oct 2021,188.98,16.64%
Nov 2021,178.09,-5.76%
Dec 2021,170.04,-4.52%
Jan 2022,194.76,14.54%
Feb 2022,215.49,10.65%
Mar 2022,288.20,33.74%
Apr 2022,307.93,6.84%
May 2022,359.18,16.64%
Jun 2022,340.58,-5.18%
Jul 2022,294.27,-13.60%
Aug 2022,286.08,-2.78%
Sep 2022,275.65,-3.65%
Oct 2022,357.74,29.78%
Nov 2022,332.47,-7.06%
Dec 2022,256.72,-22.78%
Jan 2023,267.53,4.21%
Feb 2023,233.94,-12.56%
Mar 2023,226.06,-3.37%
Apr 2023,212.68,-5.92%
May 2023,193.15,-9.18%
Jun 2023,200.03,3.56%
Jul 2023,219.49,9.73%
Aug 2023,258.04,17.56%
Sep 2023,276.17,7.03%
Oct 2023,259.19,-6.15%
Nov 2023,241.96,-6.65%
Dec 2023,219.24,-9.39%
Jan 2024,222.87,1.66%
Feb 2024,229.89,3.15%
